Currency,Unit,,Description,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
$,Thousand,Indent+Bold,Revenue from Meadowbank Mine,"7,870","84,211","116,492","109,778","86,567","89,503","128,338","129,643","125,779","154,354","193,998","135,494","130,092","122,518","175,516","163,347","191,040","152,536","125,342","106,937","103,673","116,487","112,897","113,841","85,539","89,494","105,936","103,053","111,451","117,065","115,808","104,701","91,683","77,484","81,660","72,315","60,935","50,995","29,778","79,944","93,179","16,061","138,288","119,215","137,289","151,784","163,512","137,184","91,513","175,417","206,997","171,094","209,813","195,856","210,843","241,697","249,385","308,615","315,047"
,,Abstract bold color,Costs for Meadowbank, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent, Meadowbank - Production costs,"5,699","49,032","67,450","60,352","56,650","60,561","81,860","85,431","77,007","81,639","89,740","99,324","93,589","90,136","92,610","87,559","71,069","71,892","72,838","67,099","57,096","66,888","57,404","49,177","52,210","54,761","59,746","52,246","53,978","54,397","60,484","55,505","61,490","56,483","48,844","44,330","41,905","41,751","20,551","76,641","89,366","28,483","92,256","74,871","87,339","96,022","111,425","111,703","96,711","107,373","109,905","128,692","130,004","117,488","133,919","142,597","114,162","123,014","115,705"
$,Thousand,Indent,Cash Operating Profit,"2,171","35,179","49,042","49,426","29,917","28,942","46,478","44,212","48,772","72,715","104,258","36,170","36,503","32,382","82,906","75,788","119,971","80,644","52,504","39,838","46,577","49,599","55,493","64,664","33,329","34,733","46,190","50,807","57,473","62,668","55,324","49,196","30,193","21,001","32,816","27,985","19,030","9,244","9,227","3,303","3,813","-12,422","46,032","44,344","49,950","55,762","52,087","25,481","-5,198","68,044","97,092","42,402","79,809","78,368","76,924","99,100","135,223","185,601","199,342"
$,Thousand,Indent,Amortization for Meadowbank,"1,578","11,585","15,174","27,267","26,244","22,560","27,202","36,616","23,960","26,329","30,752","33,074","28,180","29,285","31,206","31,677","23,414","23,562","34,245","30,406","32,593","38,433","37,263","36,642","31,035","32,331","30,371","28,808","19,297","17,347","18,131","19,355","20,052","21,886","22,013","19,410","21,014","18,728","11,080","13,463","18,146","5,485","24,465","21,919","25,172","24,571","32,207","29,558","29,898","27,857","26,962","32,351","46,105","42,167","52,830","51,407","38,011","39,091","38,319"
$,Thousand,Indent,Operating profit post amortization,593,"23,594","33,868","22,159","3,673","6,382","19,276","7,596","24,812","46,386","73,506","3,096","8,323","3,097","51,700","44,111","96,557","57,082","18,259","9,432","13,984","11,166","18,230","28,022","2,294","2,402","15,819","21,999","38,176","45,321","37,193","29,841","10,141",-885,"10,803","8,575","-1,984","-9,484","-1,853","-10,160","-14,333","-17,907","21,567","22,425","24,778","31,191","19,880","-4,077","-35,096","40,187","70,130","10,051","33,704","36,201","24,094","47,693","97,212","146,510","161,023"
,,Abstract Bold,Meadowbank - Cost Reconciliation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Meadowbank - Production costs,"5,699","49,032","67,450","60,352","56,650","60,561","81,860","85,431","77,007","81,639","89,740","99,324","93,589","90,136","92,610","87,559","71,069","71,892","72,838","67,099","57,096","66,888","57,404","49,177","52,210","54,761","59,746","52,246","53,978","54,397","60,484","55,505","61,490","56,483","48,844","44,330","41,905","41,751","20,551","76,641","89,366","28,483","92,256","74,871","87,339","96,022","111,425","111,703","96,711","107,373","109,905","128,692","130,004","117,488","133,919","142,597","114,162","123,014","115,705"
$,Thousand,Indent,Meadowbank - By-product metal revenues,-26,-232,-334,8,-449,-395,-420,718,-634,-484,-527,-6,-563,-345,-265,-298,-252,-493,-570,-805,"-1,689",-978,-543,-455,-659,"-1,115","-1,042","-1,021","-1,107","-1,258",-919,"-1,430",-974,-826,-514,-371,-353,-207,-558,-273,-301,-29,-235,-777,-492,-701,-714,-507,-295,-587,-687,-558,-825,-723,-573,-837,-866,"-1,108",-978
$,Thousand,Indent,Meadowbank - Inventory and other adjustments,"9,161","3,031","-3,526","-2,432","2,426",260,"2,905","-7,261","5,254",-186,"-2,570","2,084",992,"1,344","-3,179","-4,628","1,012","3,168","-1,136",-656,"2,541","-3,094","2,642","5,194","5,446","3,474","-4,423","3,608","-2,515",92,"-2,199","1,495","-3,821",-826,-945,-177,"-1,965","-1,766","-3,700","10,290","-7,944","8,645","2,394","-8,123","2,938","-3,184","-1,819","-14,234","11,790","-10,789","5,120","5,593","-3,208","-7,162","9,381","-12,256","6,392","-5,321","6,797"
