Currency,Unit,,Description,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,Abstract bold color Indent,Supplementary Data, ,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Capital Expenditures,"29,940","23,401","17,352","22,318","29,432","38,612","33,894","23,198","25,968","36,074","32,586","19,667","34,717","50,313","44,637","29,150","47,459","56,684","215,345","36,110","34,932","40,786"
$,Thousand,,Capitalized Exploration,515,"1,482","1,216","1,221",451,"1,806","1,899",860,"2,278","2,364","2,386","3,009","3,287","4,476","-4,222","3,816","5,517","4,293","5,629","5,423","5,210","4,209"
$,Thousand,,Other Income Statement Line Items, ,,,,,,,,,,,,,,,,,,,,,
,,Abstract bold color Indent,Expense Breakdown By Major Categories, ,,,,,,,,,,,,,,,,,,,,,
,Actual,,Labour,35%,26%,26%,35%,29%,22%,26%,28%,28%,32%,23%,27%,28%,28%,27%,27%,27%,24%,26%,26%,27%,26%
,Actual,, Contractors,24%,21%,22%,22%,25%,25%,25%,27%,26%,27%,18%,21%,20%,30%,21%,23%,23%,21%,22%,23%,24%,23%
,Actual,,Energy,3%,2%,2%,2%,1%,1%,2%,2%,2%,2%,2%,11%,8%,10%,13%,16%,11%,9%,11%,13%,10%,9%
,Actual,,Chemical,4%,3%,3%,2%,3%,3%,3%,3%,3%,3%,2%,2%,2%,3%,2%,2%,2%,3%,2%,2%,3%,3%
,Actual,,Consumables/Other,34%,48%,47%,39%,42%,49%,44%,40%,41%,36%,55%,39%,42%,29%,37%,32%,37%,43%,39%,36%,36%,39%
,Actual,Bold,Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
$,Thousand,,Depreciable Assets, ,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),850,746,712,799,"1,051",695,652,628,616,634,656,"1,002",837,777,855,937,"1,019",971,992,942,892,889
,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,
