Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14
$,Thousand,Indent,Loss on Goldex mine, ,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,710",,,,,,,,,,
$,Thousand,Indent,Other, ,,,,,,,,,,,,,,,,,,,,,,"-8,888",,,,,,,,,,,,,,,
$,Thousand,,"Income before income, mining and federal capital taxes","10,378","9,253","3,400","12,249","52,097","64,510","62,235","81,801","43,207","48,625","20,904","46,542","51,174","13,353","20,668","10,796","29,336","18,585","-6,609","66,726","41,274","108,549","163,477","121,903","77,362","104,766","-110,584","-850,172","107,510","77,176","152,347","98,108","48,608","-23,460","78,791","-474,621","153,905","58,361"
$,Thousand,Indent,Income and mining tax expense (recoveries),-319,"-3,775","1,097",220,"14,703","27,622","17,032","39,949","18,285","10,816","9,452","-18,620","22,266","5,006","6,630","-11,078","-25,005","17,358","10,357","18,790","18,942","8,189","42,016","33,940","32,098","35,941","-28,970","-248,742","28,962","33,904","46,021","15,338","24,749",920,"31,480","-21,305","45,053","18,360"
$,Thousand,Indent,Federal capital tax,248,234,246,334,204,-204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Loss on equity investment, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,325"
$,Thousand,Indent,Attributed to non-controlling interest, ,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,,,,,,,,,,
$,Thousand,,Net income for the period,"10,449","12,794","2,057","11,695","37,190","37,092","45,203","41,852","24,922","37,809","11,452","65,162","28,908","8,347","14,038","21,874","54,341","1,227","-16,966","47,936","22,332","100,360","121,461","87,963","45,264","68,825","-81,614","-601,370","78,548","43,272","106,326","82,770","23,859","-24,380","47,311","-453,316","108,852","37,676"
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Net income (loss) per share, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Basic earnings (loss) per share,0.12,0.15,0.02,0.13,0.35,0.32,0.38,0.35,0.21,0.28,0.08,0.46,0.20,0.06,0.10,0.15,0.35,0.01,-0.11,0.31,0.14,0.64,0.73,0.53,0.27,0.41,-0.48,-3.53,0.46,0.25,0.62,0.48,0.14,-0.14,0.27,-2.61,0.63,0.20
