Currency,Unit,,Description,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,,,Period Ended On (MM/DD/YYYY),06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/29/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024
,,,Reported Date (MM/DD/YYYY),08/01/2009,10/28/2009,02/13/2010,04/28/2010,06/01/2011,06/01/2011,06/01/2011,04/28/2011,08/01/2011,10/31/2011,02/13/2012,05/05/2012,08/01/2012,10/31/2012,03/26/2013,05/05/2013,08/01/2013,10/31/2013,02/13/2014,05/05/2014,08/01/2014,10/31/2014,02/13/2015,05/05/2015,08/04/2015,10/30/2015,02/13/2016,04/29/2016,07/28/2016,10/28/2016,02/17/2017,04/28/2017,07/28/2017,10/27/2017,02/16/2018,04/27/2018,07/26/2018,10/25/2018,02/19/2019,04/26/2019,07/30/2020,10/24/2019,02/18/2020,04/30/2020,07/30/2020,10/29/2020,02/11/2021,04/29/2021,07/28/2021,10/28/2021,02/23/2022,04/28/2022,07/27/2022,10/26/2022,02/16/2023,04/27/2023,07/26/2023,10/25/2023,02/15/2024,04/25/2024,07/31/2024,10/30/2024
$,Thousand,Indent,Kittila -  Production costs,"3,190","19,987","19,287","23,018","18,100","24,387","22,235","28,500","25,961","27,414","28,602","26,030","23,515","23,086","25,406","27,182",,"25,414","27,691","29,425","27,107","23,963","36,546","31,999","30,777","31,116","32,203","36,027","34,055","37,437","34,352","35,919","36,420","37,787","38,146","42,716","38,759","39,142","36,415","38,600","21,033","44,447","38,437","43,671","43,053","45,747","37,413","48,660","47,944","51,140","44,998","49,451","53,315","51,622","56,273","53,295","43,336","58,569","50,657","59,038","57,529","59,968"
$,Thousand,,Cash Operating Profit,"3,145",884,"14,964","11,470","16,625","26,838","17,467","27,831","18,934","34,751","33,619","49,049","31,489","52,655","53,199","44,956","18,047","39,019","27,414","19,037","14,002","12,128","14,313","27,415","16,145","21,528","15,173","24,086","22,079","36,714","27,596","29,841","21,741","25,662","23,245","23,309","15,312","19,115","22,516","25,239","8,205","44,696","39,666","41,910","59,089","62,807","38,442","58,703","51,438","57,362","54,411","46,111","67,611","58,762","24,524","62,724","59,532","55,160","65,446","55,025","75,631","88,684"
$,Thousand,Indent,Kittila - Amortization,"2,052","5,725","3,132","7,179","6,166","6,391","11,752","7,268","5,610","7,010","6,686","7,395","7,056","7,846","7,794","8,590",,"7,203","8,029","9,147","7,674","7,240","9,656","13,430","10,947","12,079","12,193","14,690","13,203","15,695","13,774","13,694","15,006","15,339","14,643","17,400","16,208","19,663","18,461","16,271","7,049","16,622","16,143","17,767","19,562","18,852","14,349","22,206","21,286","24,677","22,546","24,179","26,184","23,591","23,021","25,073","19,776","29,472","28,365","28,631","28,040","34,486"
$,Thousand,,Operating profit post amortization,"1,093","-4,841","11,832","4,291","10,459","20,447","5,715","20,563","13,324","27,741","26,933","41,654","24,433","44,809","45,405","36,366",,"31,816","19,385","9,890","6,328","4,888","4,657","13,985","5,198","9,449","2,980","9,396","8,876","21,019","13,822","16,147","6,735","10,323","8,602","5,909",-896,-548,"4,055","8,968","1,156","28,074","23,523","24,143","39,527","43,955","24,093","36,497","30,152","32,685","31,865","21,932","41,427","35,171","1,503","37,651","39,756","25,688","37,081","26,394","47,591","54,198"
,,Abstract+Bold,Kittila -  Cost Reconciliation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Kittila -  Production costs,"3,190","19,987","19,287","23,018","18,100","24,387","22,235","28,500","25,961","27,414","28,602","26,030","23,515","23,086","25,406","27,182",,"25,414","27,691","29,425","27,107","23,963","36,546","31,999","30,777","31,116","32,203","36,027","34,055","37,437","34,352","35,919","36,420","37,787","38,146","42,716","38,759","39,142","36,415","38,600","21,033","44,447","38,437","43,671","43,053","45,747","37,413","48,660","47,944","51,140","44,998","49,451","53,315","51,622","56,273","53,295","43,336","58,569","50,657","59,038","57,529","59,968"
$,Thousand,Indent,Kittila - By-product metal revenues, ,,,"-4,849",-5,-50,332,77,15,22,38,119,134,73,65,157,,64,60,114,-24,-26,-37,-35,-38,-44,-39,-47,-32,-62,-59,-46,-40,-69,-39,-71,-39,-44,-32,-76,-56,-17,-89,-54,-39,-76,-69,-54,-79,-56,-60,-89,-78,-52,-76,-69,-93,-51,-145,-89,-98,-102
$,Thousand,Indent,Kittila - Inventory and other adjustments,"4,784",-141,"-2,813",-99,"1,146","-3,323","2,252",-843,"2,920",-696,"-2,648",440,446,246,432,-294,,"3,759","1,096","1,081",530,"2,915","-1,625","-1,543","1,855","-1,401",901,"-1,024",922,"-1,025","1,101","-1,392","1,450",264,-109,-224,"1,017","1,117","2,464",-282,"-8,545",33,"3,480","-3,676",455,"-2,477","3,577",-129,761,232,"6,326","-2,059",417,630,"3,266","-1,896","1,809","-3,247","1,955",-574,-671,"-2,608"
$,Thousand,Indent,Kittila - Non-cash reclamation provision,-62,-99,-93,,-65,-93,-78,-50,-55,-35,-66,-157,-99,-147,-148,-120,,-130,-185,34,-182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,     Kittila - Stripping costs, ,,,,,,,,"-2,643",-375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
