Currency,Unit,,Description,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
,Thousand,,Creston Mascota - Payable metals Sold Silver Oz ('000), ,,,,,,,,,,,,,,,,,14,18,18,34,20,48,39,49,48,49,38,59,50,70,63,82,86,81,59,75,140,175,160,100,263,164,101,46,50,41,23,14,7,1,2, -   , -   , -   , -   , -   , -   , -   , -   
,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Revenue from Pinos Altos Mine, ,,,,,,,,,,,,,,,,,"70,483","63,357","58,130","59,812","58,864","74,306","64,062","53,678","59,676","77,186","96,156","61,359","65,765","69,798","55,027","67,315","71,918","64,363","62,786","71,788","63,757","58,543","64,655","62,622","63,938","32,806","70,194","77,345","58,242","71,250","69,418","60,354","51,967","51,360","45,543","50,960","51,448","50,389","54,390","56,649","48,400","67,790","68,336"
$,Thousand,,Revenue from Creston Mascota Mine, ,,,,,,,,,,,,,,,,,"13,539","14,237","15,676","16,122","14,015","20,469","14,999","16,990","14,770","16,342","17,462","14,393","15,035","15,475","14,829","18,459","17,287","13,539","9,987","13,860","20,951","23,865","20,747","12,460","29,428","20,826","16,864","10,644","10,051","7,180","5,959","4,594","1,792","1,126","1,131",427, -   , -   , -   , -   , -   , -   , -   
$,Thousand,bold,Revenue from Pinos Altos & Creston Mascota,"14,182","26,480","41,163","43,790","64,204","78,166","90,653","105,858","103,652","104,296","120,706","124,084","101,578","88,596","86,126","88,449","81,554","84,022","77,594","73,806","75,934","72,879","94,775","79,061","70,668","74,446","93,528","113,618","75,752","80,800","85,273","69,856","85,774","89,205","77,902","72,773","85,648","84,708","82,408","85,402","75,082","93,366","53,632","87,058","87,989","68,293","78,430","75,377","64,948","53,759","52,486","46,674","51,387","51,448","50,389","54,390","56,649","48,400","67,790","68,336"
,,Abstract bold color,Costs for Pinos Altos (combined with Creston Mascota - historical), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Pinos Altos - Production costs,"11,819","13,849","18,537","28,701","29,206","30,907","38,085","40,081","36,541","35,161","40,819","36,917","40,045","31,652","38,938","39,584","36,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,157","37,767","32,922","34,709","40,147","38,158","33,407","43,109","46,464"
$,Thousand,,Cash Operating Margin, ,,,,,,,,,,,,"61,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,517","13,620","18,526","15,680","14,243","18,491","14,993","24,681","21,872"
$,Thousand,Indent,Amortization for Pinos Altos,"1,524","3,058","4,747","5,435","7,148","7,560","7,966","10,100","11,353","10,053","10,455","8,816","7,506","9,325","10,877","11,274","10,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,407","14,022","14,034","15,206","17,214","16,671","9,193","13,044","13,220"
$,Thousand,,Operating profit post amortization,"-1,524","-3,058","-4,747","-5,435","-7,148","-7,560","-7,966","-10,100","-11,353","-10,053","-10,455","-8,816","60,466","-9,325","-10,877","-11,274","-10,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,890",-402,"4,492",474,"-2,971","1,820","5,800","11,637","8,652"
,,Abstract Bold,Pinos Altos - Cost Reconciliation:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Pinos Altos - Production costs,"11,819","13,849","18,537","28,701","29,206","30,907","38,085","40,081","36,541","35,161","40,819","36,917","33,606","31,652","38,938","39,584","36,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,157","37,767","32,922","34,709","40,147","38,158","33,407","43,109","46,464"
$,Thousand,Indent,"Pinos Altos - Byproduct revenues, net of smelting, refining and marketing charges",-625,"-3,687","-4,885","-6,426","-10,054","-15,003","-15,986","-16,105","-13,559","-16,449","-13,750","-20,273","-19,006","-16,566","-9,642","-12,499","-10,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,159","-5,497","-5,574","-6,653","-7,527","-7,585","-7,050","-8,989","-10,517"
$,Thousand,Indent,Pinos Altos - Inventory adjustment,"-5,356","1,493","-1,115","2,252","-4,625",-628,"-6,473","-8,037","-7,251","-2,426","-4,166","-3,413",0,"-1,749",-636,"-1,473","-1,189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,-69,-409,357,627,833,"6,973",-527,"-3,231"
$,Thousand,Indent,Pinos Altos - Non-cash reclamation provision,-100,-214,-214,-214,-214,-282,,-356,-386,-433,-195,-85,-51,-74,-111,-110,-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,     Pinos Altos - Stripping costs, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   
$,Thousand,Indent,Pinos Altos - Cash operating costs,"5,738","11,441","12,323","24,313","14,313","14,994","15,626","15,583","15,345","15,853","22,708","13,146","20,988","13,263","28,549","25,502","25,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,485","32,201","26,939","28,413","33,247","31,406","33,330","33,593","32,716"
$,Actual,bold,Pinos Altos - Total cash costs ( Per ounce of commercial production),596,436,415,690,365,312,299,295,292,278,358,212,295,300,496,428,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,116","1,282","1,310","1,210","1,348","1,414","1,531"
$,Thousand,,Pinos Altos - Minesite operating costs (USD$),"6,110","15,128","17,208","30,739","24,367","29,364","30,791","30,679","28,979","32,302","36,499","33,419","33,512","29,856","38,286","35,950","35,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,873","37,068","32,674","36,614","38,163","38,645","40,062","42,237","42,916"
$,Actual,,Pinos Altos - Minesite costs per tonne (USD$),28,34,31,50,35,28,28,27,24,26,30,29,46,41,37,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,90,90,85,88,94,93,96
,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract bold color Indent,Costs for Pinos Altos (stand alone), ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Pinos Altos - Production costs, ,,,,,,,,,,,,,,,,,"31,886","30,033","29,293","32,690","24,212","29,768","26,845","24,351","23,856","28,794","35,457","26,450","23,732","28,660","25,582","30,752","34,699","34,743","33,714","35,206","29,658","31,262","34,652","34,618","35,881","18,221","33,131","37,445","31,998","39,345","37,447","32,698","32,536","39,873","34,513","37,567","32,922","34,709","40,147","38,158","33,407","43,109","46,464"
$,Thousand,Indent,Cash Operating Margin, ,,,,,,,,,,,,,,,,,"38,597","33,324","28,837","27,122","34,652","44,538","37,217","29,327","35,820","48,392","60,699","34,909","42,033","41,138","29,445","36,563","37,219","29,620","29,072","36,582","34,099","27,281","30,003","28,004","28,057","14,585","37,063","39,900","26,426","31,905","31,971","27,656","19,431","11,487","11,030","13,393","18,526","15,680","14,243","18,491","14,993","24,681","21,872"
$,Thousand,Indent,Amortization for Pinos Altos, ,,,,,,,,,,,,,,,,,"9,447","9,585","10,174","11,855","9,251","11,737","9,915","10,990","10,920","16,223","20,876","16,082","17,865","15,406","9,296","17,404","17,923","20,190","15,502","16,588","13,788","13,537","15,767","15,210","16,478","10,786","17,978","20,159","14,651","17,755","15,336","13,526","14,799","14,231","14,407","14,022","14,034","15,206","17,214","16,671","9,193","13,044","13,220"
$,Thousand,,Operating profit post amortization, ,,,,,,,,,,,,,,,,,"29,150","23,739","18,663","15,267","25,401","32,801","27,302","18,337","24,900","32,169","39,823","18,827","24,168","25,732","20,149","19,159","19,296","9,430","13,570","19,994","20,311","13,744","14,236","12,794","11,579","3,799","19,085","19,741","11,775","14,150","16,635","14,130","4,632","-2,744","-3,377",-629,"4,492",474,"-2,971","1,820","5,800","11,637","8,652"
,,Abstract Bold,Pinos Altos - Cost Reconciliation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
