Currency,Unit,,Description,Q1 05,Q2 05,Q3 05,Q4 05,Q1 06,Q2 06,Q3 06,Q4 06,Q1 07,Q2 07,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,Q4 13,Q1 14,Q2 14
$,Thousand,Indent,Goodwill, ,,,,,,,,,,,,,,,,,,,,,,,"200,064","200,064","200,064","200,064","229,279","229,279","229,279","229,279","229,279","229,279","235,414","235,414","39,017","39,017","39,017"
$,Thousand,Indent,Future income and mining tax assets,"52,952","57,680","60,344","61,781","54,303","35,605","25,051","1,272","6,141","15,957","19,131","17,805","24,181","26,392","23,165","21,647","21,778","26,883","28,004","27,878","27,705","25,869","29,843","1,647","2,615","2,771",,,,,,,,,,,,
$,Thousand,Indent,Equity investment, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,638,784"
$,Thousand,Indent,"Property, plant and mine development, net","436,402","444,189","453,490","661,196","743,083","770,588","805,504","859,859","914,737","1,714,628","1,893,634","2,107,063","2,258,058","2,543,312","2,792,623","2,997,500","3,150,222","3,296,595","3,450,584","3,581,798","3,653,294","3,739,239","4,796,886","4,564,563","4,595,545","4,647,580","4,493,849","3,887,657","3,907,085","3,943,179","3,985,906","4,067,456","4,129,137","4,241,107","4,311,713","4,049,117","4,057,627","4,067,096"
$,Thousand,Bold,Total non-current assets,"513,172","525,056","537,861","730,972","801,277","809,604","862,224","868,868","935,439","1,745,902","1,928,259","2,141,304","2,298,366","2,585,700","2,824,732","3,027,530","3,178,734","3,334,907","3,502,532","3,643,317","3,720,521","3,842,760","4,898,295","4,827,776","4,856,620","4,913,710","4,746,517","4,155,661","4,230,721","4,258,658","4,264,643","4,352,573","4,409,101","4,519,922","4,587,119","4,154,528","4,159,914","5,804,313"
$,Thousand,Bold,Total  assets,"730,464","736,355","766,727","974,307","1,066,184","1,362,174","1,413,259","1,491,701","1,535,457","2,411,346","2,531,554","2,747,398","2,819,484","2,976,867","3,221,864","3,378,824","3,630,004","3,812,633","4,113,303","4,247,357","4,309,745","4,494,772","5,511,972","5,501,998","5,523,201","5,641,656","5,544,051","5,026,564","4,998,423","5,067,550","5,218,625","5,255,842","5,250,820","5,250,800","5,440,070","4,959,359","4,995,126","6,708,478"
,,Abstract Bold,Liabilities:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Current  liabilities:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Short-term debt, ,,,,"3,264","7,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Accounts payable and accrued liabilities,"28,200","21,187","26,714","37,793","24,584","28,604","30,572","42,538","35,594","71,961","92,596","108,227","125,516","171,980","191,529","139,795","112,882","130,549","170,202","155,432","124,099","153,978","197,229","170,967","157,504","210,762","226,414","208,174","173,695","215,408","232,673","185,329","177,898","207,539","232,565","173,374","145,501","235,662"
