Currency,Unit,,Description,Q2 14,Q3 14,Q4 14,Q1 15,Q2 15,Q3 15,Q4 15,Q1 16,Q2 16,Q3 16,Q4 16,Q1 17,Q2 17,Q3 17,Q4 17,Q1 18,Q2 18,Q3 18,Q4 18,Q1 19,Q2 19,Q3 19,Q4 19,Q1 20,Q2 20,Q3 20,Q4 20,Q1 21,Q2 21,Q3 21,Q4 21,Q1 22,Q2 22,Q3 22,Q4 22,Q1 23,Q2 23,Q3 23,Q4 23,Q1 24,Q2 24,Q3 24
$,Thousand,,Cash operating profit,547,"33,224","39,093","34,718","44,737","44,293","38,060","41,740","50,133","55,981","40,430","51,586","51,237","56,702","56,347","62,261","67,680","58,478","60,346","54,629","60,232","70,263","73,015","57,046","45,502","76,673","104,009","103,748","109,579","93,439","96,252","79,302","104,461","72,905","83,535","80,783","191,681","194,589","191,613","201,541","274,139","216,985"
$,Thousand,Indent,Canadian Malartic - Amortization, -   ,"17,829","19,618","18,340","31,199","27,772","25,739","26,052","31,239","30,140","30,235","30,359","32,725","28,717","30,567","28,822","32,255","32,698","32,647","29,992","29,574","28,115","32,140","31,530","29,454","32,738","38,809","37,609","43,081","44,337","42,130","33,236","30,055","33,018","31,533","26,482","91,239","96,984","126,032","65,377","96,658","91,276"
$,Thousand,Bold,Operating profit post amortization,547,"15,395","19,475","16,378","13,538","16,521","12,321","15,688","18,894","25,841","10,195","21,227","18,512","27,985","25,780","33,439","35,425","25,780","27,699","24,637","30,658","42,148","40,875","25,516","16,048","43,935","65,200","66,139","66,498","49,102","54,122","46,066","74,406","39,887","52,002","54,301","100,442","97,605","65,581","136,164","177,481","125,709"
,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Abstract Bold,Canadian Malartic - Cost Reconciliation, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Canadian Malartic - Production costs,"8,636","47,882","47,701","41,186","42,185","42,008","46,093","40,814","47,974","47,917","46,930","32,501","52,752","45,020","58,296","47,320","50,557","50,736","51,148","49,759","51,141","52,533","54,745","48,656","37,333","51,654","57,669","55,468","63,458","62,393","61,270","56,937","56,405","58,516","63,877","57,291","144,190","125,455","138,878","126,576","144,333","128,984"
$,Thousand,Indent,Canadian Malartic - By-product metal revenues,-329,"-1,213","-1,230","-1,142","-1,177","-1,134","-1,236","-1,095","-1,442","-1,816","-1,468","-1,354","-1,513","-1,300","-1,593","-1,668","-1,878","-1,652","-1,608","-1,556","-1,472","-1,645","-2,038","-1,773","-1,247","-1,995","-2,183","-2,030","-1,846","-1,718","-1,639","-1,662","-1,243","-1,067","-1,115","-1,138","-2,069","-1,551","-1,974","-1,952","-2,216","-1,777"
$,Thousand,Indent,Canadian Malartic - Inventory and other adjustments,48,935,"-1,100","2,851",688,781,-705,"1,309","-1,502",756,"-1,116","8,564","-6,674","3,624","-6,010","1,588",626,"1,632","-1,899",-373,"1,475",-755,"-1,070","-1,507","5,146",-962,"1,178","1,816","-1,071",497,450,"8,510","10,471","4,292","5,428","7,877","-4,943","18,782","16,724","34,249","15,480","17,676"
$,Thousand,Indent,Canadian Malartic - Stripping costs,"-1,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Canadian Malartic - Non-cash reclamation provision, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,Indent,Canadian Malartic - Cash operating costs,"7,298","47,604","45,371","42,895","41,696","41,655","44,152","41,028","45,030","46,857","44,346","39,711","44,565","47,344","50,693","47,240","49,305","50,716","47,641","47,830","51,144","50,133","51,637","45,376","41,232","48,697","56,664","55,254","60,541","61,172","60,081","63,785","65,633","61,741","68,190","64,030","137,178","142,686","153,628","158,873","157,597","144,883"
$,Actual,Bold+Indent,Canadian Malartic - Total cash costs ( Per ounce of commercial production),614,735,684,632,609,544,606,557,621,613,634,556,540,577,628,566,537,572,562,572,607,615,630,734,762,772,656,617,657,705,676,792,753,820,789,794,772,805,913,850,871,"1,025"
C$,Thousand,Indent,Canadian Malartic - Minesite operating costs (C$),"8,160","52,942","52,327","54,320","51,937","55,010","59,578","57,545","59,541","63,200","60,648","54,129","61,607","60,090","64,511","62,544","65,837","68,025","64,857","65,080","70,218","69,518","67,472","62,946","54,819","65,824","76,396","73,421","77,849","79,630","78,147","82,286","84,325","81,240","91,766","87,230","188,456","194,085","210,501","216,492","217,108","197,484"
C$,Actual,Indent,Canadian Malartic - Minesite costs per tonne (C$),21,22,22,23,23,22,25,24,24,25,25,22,24,24,25,25,25,26,25,25,26,26,26,27,25,29,27,28,28,27,28,34,35,33,37,39,39,39,40,42,42,41
,,Abstract bold color Indent,Capital Expenditures, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Total Capital Expenditures, ,,,,,"9,280","13,613","10,506","19,328","14,921","15,679","13,160","13,351","22,043","37,995","21,329","19,242","21,191","21,071","15,728","19,089","24,720","23,514","16,648","16,648","6,871","21,188","27,203","32,161","27,813","42,185","33,486","45,681","57,014","61,507","47,605","83,004","60,690","66,416","64,368","72,126","80,123"
$,Thousand,,Total Sustaining Capital Expenditures, ,,,,,"8,160","13,613","10,022","18,313","14,555","15,284","12,442","12,628","15,527","27,281","16,118","13,172","13,572","7,998","7,506","9,897","14,517","13,960","12,264","8,125","13,477","18,616","19,555","20,758","13,458","18,978","10,734","16,346","23,199","18,858","16,584","34,086","21,549","18,809","27,045","28,053","36,789"
,,Abstract bold color Indent,Supplementary Data, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Thousand,,Capital Expenditures, ,"15,445","17,406","10,548","10,632","8,734","13,145","9,757","17,699","11,704","14,160","12,026","11,188","19,251","35,764","19,201","16,235","18,509","24,448","15,670","19,004","24,623","23,396","16,648","11,092","6,871","21,188","24,733","29,041","25,316","39,573","30,550","41,928","53,559","59,097","46,402","80,635","57,718","66,416","63,050","71,252","78,613"
$,Thousand,,Capitalized Exploration, ,453,,134,107,546,468,749,"1,629","3,217","1,519","1,134","2,163","2,792","2,231","2,128","3,007","2,683","-3,377",58,85,98,117,,,,,"2,470","3,120","2,497","2,611","2,936","3,753","3,455","2,410","1,203","2,370","2,972","2,902","1,318",874,"1,510"
$,Thousand,,Depreciable Assets, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$,Actual,,Total Cash Costs (US$/oz),614,735,684,632,609,544,606,557,621,613,634,556,540,577,628,566,537,572,562,572,607,615,630,734,762,772,656,617,657,705,676,792,753,820,789,794,772,805,913,850,871,"1,025"
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
